Year,Temperature
1753,9.54
1754,9.456666666666669
1755,8.923333333333334
1756,9.073333333333334
1757,8.848333333333334
1758,8.115
1759,9.431666666666668
1760,9.715
1761,9.548333333333334
1762,9.323333333333334
1763,9.281666666666666
1764,9.406666666666666
1765,9.273333333333332
1766,9.206666666666669
1767,9.456666666666669
1768,9.365
1769,9.431666666666668
1770,8.79
1771,9.481666666666667
1772,10.69
1773,9.331666666666669
1774,9.473333333333334
1775,9.515
1776,9.64
1777,9.473333333333333
1778,10.115
1779,9.981666666666667
1780,9.64
1781,10.881666666666668
1782,8.698333333333334
1783,10.348333333333333
1784,8.756666666666666
1785,8.224166666666667
1786,9.048333333333334
1787,9.665
1788,9.506666666666668
1789,8.981666666666667
1790,10.006666666666668
1791,10.415
1792,10.131666666666668
1793,10.231666666666667
1794,10.473333333333333
1795,9.715
1796,9.431666666666668
1797,9.915
1798,9.506666666666666
1799,8.556666666666667
1800,9.765
1801,9.981666666666667
1802,9.973333333333333
1803,9.673333333333334
1804,10.04
1805,8.056666666666667
1806,10.273333333333332
1807,9.298333333333334
1808,7.873333333333333
1809,8.856666666666667
1810,9.065
1811,10.19
1812,8.09
1813,8.656666666666666
1814,8.315
1815,9.365
1816,8.206666666666667
1817,9.431666666666668
1818,9.248333333333337
1819,9.64
1820,8.790000000000001
1821,9.623333333333331
1822,10.498333333333331
1823,8.981666666666667
1824,9.34
1825,9.965
1826,9.406666666666666
1827,9.706666666666669
1828,10.215
1829,7.99
1830,8.723333333333333
1831,9.573333333333334
1832,9.39
1833,9.831666666666669
1834,10.956666666666669
1835,9.156666666666666
1836,9.115
1837,8.506666666666668
1838,8.223333333333333
1839,9.356666666666667
1840,8.406666666666666
1841,9.115
1842,8.506666666666668
1843,8.998333333333333
1844,9.023333333333332
1845,8.873333333333335
1846,9.84
1847,8.206666666666667
1848,8.715833333333332
1849,8.915000000000001
1850,8.389999999999999
1851,7.648333333333333
1852,9.315
1853,8.256666666666668
1854,8.865
1855,8.473333333333333
1856,9.181666666666668
1857,9.14
1858,8.823333333333334
1859,9.848333333333333
1860,8.34
1861,9.423333333333334
1862,10.315
1863,10.006666666666668
1864,8.74
1865,10.081666666666669
1866,10.131666666666668
1867,9.556666666666668
1868,10.465
1869,9.598333333333333
1870,9.24
1871,8.540000000000001
1872,9.965
1873,9.823333333333334
1874,9.273333333333332
1875,9.556666666666668
1876,9.648333333333332
1877,9.973333333333333
1878,9.006666666666668
1879,8.048333333333334
1880,9.806666666666668
1881,9.506666666666668
1882,9.306666666666668
1883,9.081666666666669
1884,9.915
1885,9.656666666666666
1886,9.723333333333334
1887,8.373333333333333
1888,8.59
1889,8.623333333333333
1890,8.348333333333334
1891,8.556666666666667
1892,9.415
1893,9.956666666666669
1894,9.531666666666666
1895,9.048333333333334
1896,8.565000000000001
1897,9.573333333333334
1898,9.756666666666666
1899,9.981666666666667
1900,10.006666666666668
1901,8.929166666666667
1902,9.355833333333331
1903,9.443333333333332
1904,10.149166666666668
1905,9.498333333333331
1906,9.739166666666668
1907,9.55
1908,9.105
1909,8.724166666666667
1910,9.505
1911,10.330833333333334
1912,9.2725
1913,9.671666666666669
1914,9.138333333333334
1915,9.226666666666668
1916,9.385833333333334
1917,8.545
1918,9.511666666666668
1919,9.130833333333332
1920,10.165833333333332
1921,10.36
1922,9.211666666666666
1923,9.985
1924,9.370833333333334
1925,9.666666666666666
1926,10.095
1927,9.981666666666667
1928,10.630833333333332
1929,9.5075
1930,10.45
1932,9.488333333333332
1933,9.293333333333331
1934,10.349166666666669
1935,9.958333333333334
1936,10.125
1937,10.319166666666668
1938,9.789166666666668
1939,9.6225
1940,8.9825
1941,9.149166666666666
1942,9.748333333333331
1943,10.611666666666666
1944,9.680833333333334
1945,10.468333333333334
1946,10.319166666666668
1947,11.1
1948,10.4925
1949,10.8025
1950,10.458333333333334
1951,10.038333333333334
1952,10.145833333333334
1953,9.905
1954,9.621666666666668
1955,9.910833333333334
1956,8.684166666666666
1957,9.785833333333333
1958,9.884166666666667
1959,10.4875
1960,10.088333333333331
1961,10.896666666666668
1962,9.515833333333331
1963,8.906666666666666
1964,9.99
1965,9.325833333333334
1966,10.294166666666667
1967,10.059166666666666
1969,9.534166666666668
1970,9.636666666666668
1971,9.775833333333331
1972,9.759166666666667
1976,10.253333333333334
1977,10.503333333333334
1978,9.635833333333334
1980,9.466666666666669
2010,10.693
2011,11.73
2012,11.291666666666666
2013,10.58
